"REF_DATE","GEO","DGUID","Sector","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","36470783","","","","0"
"2018-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37171458","","","","0"
"2018-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37279774","","","","0"
"2018-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37004063","","","","0"
"2018-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37686244","","","","0"
"2018-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38675204","","","","0"
"2018-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37300377","","","","0"
"2018-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37493063","","","","0"
"2018-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38128511","","","","0"
"2018-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38098617","","","","0"
"2018-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38686097","","","","0"
"2018-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","39546959","","","","0"
"2019-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37913042","","","","0"
"2019-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38233889","","","","0"
"2019-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38636464","","","","0"
"2019-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38629394","","","","0"
"2019-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","39459996","","","","0"
"2019-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40048862","","","","0"
"2019-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","39362388","","","","0"
"2019-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","39333768","","","","0"
"2019-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40049910","","","","0"
"2019-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","39998483","","","","0"
"2019-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40485493","","","","0"
"2019-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","41700023","","","","0"
"2020-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40086694","","","","0"
"2020-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40216572","","","","0"
"2020-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38597919","","","","0"
"2020-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","36134617","","","","0"
"2020-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","36140405","","","","0"
"2020-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","37802097","","","","0"
"2020-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","38568639","","","","0"
"2020-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","39266331","","","","0"
"2020-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40681288","","","","0"
"2020-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40703922","","","","0"
"2020-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","41251045","","","","0"
"2020-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42444694","","","","0"
"2021-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","40979603","","","","0"
"2021-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","41730294","","","","0"
"2021-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42340987","","","","0"
"2021-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","41736017","","","","0"
"2021-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","41611615","","","","0"
"2021-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42232892","","","","0"
"2021-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42532504","","","","0"
"2021-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","42846725","","","","0"
"2021-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44255230","","","","0"
"2021-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44520859","","","","0"
"2021-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44818422","","","","0"
"2021-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","45917012","","","","0"
"2022-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","44607571","","","","0"
"2022-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","45694508","","","","0"
"2022-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46620271","","","","0"
"2022-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46346750","","","","0"
"2022-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46289543","","","","0"
"2022-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","47431991","","","","0"
"2022-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46872914","","","","0"
"2022-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","46715909","","","","0"
"2022-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48426120","","","","0"
"2022-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","47555083","","","","0"
"2022-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48080851","","","","0"
"2022-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","49594899","","","","0"
"2023-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48150856","","","","0"
"2023-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48405722","","","","0"
"2023-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","48970481","","","","0"
"2018-01","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","31568986","","","","0"
"2018-02","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32176948","","","","0"
"2018-03","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32272864","","","","0"
"2018-04","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32033486","","","","0"
"2018-05","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","32627278","","","","0"
"2018-06","Ontario","2016A000235","Wages and salaries","Unadjusted","Dollars","81","thousands","3","v1996655","7.2.1","33487538","","","","0"
