"OCC_,MONTH",unempolyment_rate
January,7.2
February,7.2
March,7.8
April,7.3
May,7.7
June,7.2
July,7.4
August,7.6
September,7.3
October,7.6
November,7.4
December,8.3
January,7
February,7.8
March,7.4
April,7.4
May,7.6
June,7.5
July,7.3
August,6.4
September,6.7
October,6.7
November,5.9
December,6.7
January,7
February,6.9
March,6.4
April,6.5
May,6.2
June,6.2
July,6.5
August,6.5
September,7
October,6.8
November,6.8
December,6.4
January,6.6
February,6.9
March,7.2
April,7.1
May,6.8
June,6.8
July,6.8
August,6.6
September,6.6
October,6.4
November,6.8
December,7
January,6.6
February,6.5
March,6.8
April,6.2
May,6.5
June,6.6
July,6.9
August,6.6
September,6.7
October,7.2
November,7.7
December,8.1
January,8.8
February,9.3
March,9.1
April,9
May,9.9
June,10.3
July,10.2
August,10.2
September,9.3
October,9.4
November,9.8
December,9.6
January,9.1
February,9.6
March,9.4
April,9.4
May,9.2
June,8.9
July,8.9
August,9.8
September,9.8
October,8.5
November,8.3
December,8.4
January,8.5
February,8
March,8.6
April,8.5
May,8.4
June,8.3
July,8.1
August,8.1
September,8.3
October,8.6
November,8.6
December,8.3
January,9.2
February,8.3
March,8.8
April,9
May,9.3
June,8.7
July,8.5
August,8.7
September,8.4
October,8.7
November,8.2
December,8.5
January,8.4
February,8.5
March,8.3
April,8.1
May,7.9
June,8.1
July,8
August,7.9
September,8.1
October,8.1
November,8
December,8.4
January,8.1
February,8
March,7.7
April,7.5
May,8
June,8.3
July,8.8
August,8.2
September,8
October,7.8
November,8
December,7.7
January,7.2
February,7.3
March,7
April,7
May,6.9
June,6.7
July,6.5
August,7.2
September,7.1
October,7
November,7.2
December,7.1
January,7.1
February,7.4
March,7.2
April,7.6
May,6.7
June,5.5
July,6.8
August,7.3
September,7.3
October,6.9
November,6.8
December,7.1
January,7.2
February,6.9
March,7
April,6.3
May,7
June,6.5
July,6.8
August,5.7
September,5.8
October,6.1
November,6
December,6.3
January,5.7
February,5.6
March,5.8
April,6.1
May,6.4
June,6.4
July,5.6
August,6.3
September,6.4
October,6.3
November,6.1
December,5.9
January,6.5
February,6.5
March,6.6
April,6.5
May,5.4
June,5.7
July,5.9
August,5.9
September,5.5
October,5.6
November,5.8
December,5.5
January,5.2
February,5.5
March,7.4
April,11.1
May,15.4
June,14.2
July,14.6
August,13
September,11
October,10.7
November,10.4
December,10.8
